,drug,OPAL Price,OPAL Amount,OPAL Unit,OPAL Standardized Cost,OPAL Standardized Unit
227,Tobramycin Sulfate,,,,,
228,Tropicamide 0.5% Ophth Soln,,,,,
229,Valproic Acid,0.1522,250.0,mg,0.6088,g
230,ValGANCIclovir,4.5,50.0,mg/ml,0.09,g/l
231,ValGANCIclovir ,4.5,50.0,mg/ml,0.09,g/l
232,Vecuronium Bromide,,,,,
233,NEO*PO*Acetaminophen Drops,,,,,
234,Acetaminophen (Liquid),,,,,
235,Albumin 5% (2.5 g),,,,,
236,Aluminum Hydroxide Suspension,,,,,
237,Amiodarone,2.2496666666666667,400.0,mg,5.6241666666666665,g
238,Amoxicillin Oral Susp.,,,,,
239,Aquaphor Ointment,,,,,
240,Argatroban,82.51,1.0,mg/ml,82.51,g/l
241,Artificial Tear Ointment,,,,,
242,Anti-Thymocyte Globulin (Rabbit) Desensitization,,,,,
243,Azacitidine,76.65,100.0,mg,766.5,g
244,CARBOplatin,1.64,10.0,mg/ml,0.16399999999999998,g/l
245,Syringe (Chemo),,,,,
246,Phenaseptic Throat Spray,,,,,
247,Chloraseptic Throat Spray,,,,,
248,Ciprofloxacin 0.3% Ophth Soln,,,,,
249,Ciprofloxacin IV,,,,,
250,Colistin,8.84,150.0,mg,58.93333333333334,g
251,Daptomycin,35.81,500.0,mg,71.62,g
252,DOBUTamine,6.12,,,,
253,DOPamine,2.6468000000000003,40.0,mg/ml,0.06617,g/l
254,DopAmine,2.6468000000000003,40.0,mg/ml,0.06617,g/l
255,Dopamine HCl,2.6468000000000003,40.0,mg/ml,0.06617,g/l
256,Vitamin D,0.0285,200.0,mg,0.1425,g
257,Ethanol 70% Catheter DWELL,,,,,
258,Ferrous Sulfate,0.008477801268498942,220.0,mg,0.03853546031135883,g
259,Flumazenil,3.106,0.1,mg/ml,31.06,g/l
260,Fluticasone Propionate 110mcg,14.683333333333332,110.0,mcg,133484.84848484848,g
261,Gabapentin,0.1225,600.0,mg,0.20416666666666666,g
262,Gammagard Liquid,100.33,1.0,g,100.33,g
263,GammaGARD Liquid,100.33,1.0,g,100.33,g
264,Ganciclovir,41.384,500.0,mg,82.768,g
265,Filgrastim,,,,,
266,Heparin (Preservative Free),,,,,
267,Humalog,5.1770000000000005,100.0,unt/ml,5.177000000000001e-05,unt/l
268,Hydrocortisone Cream 0.5%,,,,,
269,Labetalol,0.11449999999999999,100.0,mg,1.1449999999999998,g
270,Labetalol HCl,0.11449999999999999,100.0,mg,1.1449999999999998,g
271,Lacosamide,0.39255,10.0,mg/ml,0.039255,g/l
272,LeVETiracetam,0.20983333333333334,500.0,mg,0.4196666666666667,g
273,Levetiracetam,0.20983333333333334,500.0,mg,0.4196666666666667,g
274,Levothyroxine Sodium,,,,,
275,Lidocaine Jelly 2%,,,,,
276,Mannitol 20%,,,,,
277,Mannitol 20 %,,,,,
278,Soln.,7.944,3000.0,ml,2.648,l
279,Methylprednisolone Na Succ,19.75,500.0,mg,39.5,g
280,Potassium Chloride Replacement (Oncology),,,,,
281,Morphine Sulfate (Concentrated Oral Soln),,,,,
282,Methylprednisolone Na Succ.,,,,,
283,Mycophenolate Mofetil,0.9351,500.0,mg,1.8702,g
284,NEO*IV*AMPicillin Sodium,,,,,
285,NEO*IV*Ampicillin Sodium,,,,,
286,NEO*IV*Clindamycin,,,,,
287,NEO*IV*Indomethacin Sodium,,,,,
288,NEO*NASAL*Phenylephrine 0.125%,,,,,
289,CycloSPORINE Modified (Neoral),,,,,
290,Cyclosporine Modified (Neoral),,,,,
291,Syringe (Neonatal) *NS*,,,,,
292,Syringe (Neonatal) *SW*,,,,,
293,Piperacillin-Tazobactam,,,,,
294,Nesiritide,,,,,
295,NEO*IV*Phenobarbital,,,,,
296,NEO*IV*Vancomycin,,,,,
297,Octreotide Acetate,4.477,0.05,mg/ml,89.54,g/l
298,Pentamidine Inhalation,,,,,
299,Bismuth Subsalicylate,0.044333333333333336,262.0,mg,0.1692111959287532,g
300,Phenytoin Sodium (IV),,,,,
301,Phenytoin Sodium,,,,,
302,Sodium Fluoride (Dental Gel),,,,,
303,Rifampin,2.9979999999999998,150.0,mg,19.986666666666665,g
304,Rocuronium,2.6,10.0,mg/ml,0.26,g/l
305,Syringe (NS),,,,,
306,Tacrolimus Suspension,,,,,
307,Tacrolimus,0.423,,,,
308,Tromethamine,1.508,30.0,mg/ml,0.05026666666666667,g/l
309,Soln,1973.7633333333333,10.0,mg/ml,197.37633333333332,g/l
310,Timolol Maleate 0.25%,18.862000000000002,,,,
311,Tranexamic Acid,6.18,100.0,mg/ml,0.061799999999999994,g/l
312,Triamcinolone Acetonide 0.1% Ointment,,,,,
313,Triamcinolone Acetonide 0.1% Cream,0.03209251101321586,,,,
314,Vancomycin,0.4177666666666667,50.0,mg/ml,0.008355333333333333,g/l
315,Voriconazole,1.045,200.0,mg,5.225,g
316,1/2 NS,,,,,
317,Acetaminophen IV,,,,,
318,Fluticasone-Salmeterol Diskus (250/50) ,,,,,
319,Fluticasone-Salmeterol (250/50) ,,,,,
320,Brimonidine Tartrate 0.15% Ophth.,,,,,
321,Betamethasone Dipro 0.05% Cream,,,,,
322,Ciprofloxacin,6.284285714285715,,,,
323,Albuterol-Ipratropium,,,,,
324,Albuterol Sulfate-Ipratropium,,,,,
325,Cyclopentolate 1%,,,,,
326,Divalproex Sodium,0.06570000000000001,125.0,mg,0.5256000000000001,g
327,Divalproex Sod. Sprinkles,,,,,
328,NS Epidural Bag,,,,,
329,Erythromycin 0.5% Ophth Oint,,,,,
330,Fentanyl PCA,,,,,
331,Iso-Osmotic Sodium Chloride,,,,,
332,Maalox/Diphenhydramine/Lidocaine,,,,,
333,Meropenem Desensitization,,,,,
334,Sodium Chloride ,1.3566666666666667,,,,
335,Nafcillin Desensitization,,,,,
336,Pentobarbital Sodium,,,,,
337,NEO*PO*Metoclopramide,,,,,
338,NEO*IV*Penicillin G Potassium,,,,,
339,NEO*PO*Spironolactone,,,,,
340,Syringe (Neonatal) *D5W*,,,,,
341,Pediatric Vitamins ADC,,,,,
342,NS Syringe (Intrapleural),,,,,
343,Oxacillin Desensitization,,,,,
344,Prednisolone Acetate 0.12% Ophth. Susp.,,,,,
345,Propofol,1.3096,10.0,mg/ml,0.13096000000000002,g/l
346,Syringe (0.9% Sodium Chloride),,,,,
347,Fluticasone-Salmeterol Diskus (500/50) ,,,,,
348,Hydrocortisone Acetate Ointment 1%,,,,,
349,Atropine Sulfate 1%,,,,,
350,Atropine Sulfate Ophth 1%,,,,,
351,NEO*IV*Caffeine Citrate,,,,,
352,Clobetasol Propionate 0.05% Cream,0.2806666666666667,,,,
353,Heparin Flush PICC (100 units/ml),,,,,
354,Heparin Flush Midline (100 units/ml),,,,,
355,Heparin Flush (100 units/ml),,,,,
356,Lidocaine,2.7,,,,
357,Lidocaine 1% P.F.,,,,,
358,Syringe (Neonatal) *D10W*,,,,,
359,Sodium CITRATE 4%,,,,,
360,Sodium Citrate 4%,,,,,
361,Vitamin A,0.005,50000.0,unt/ml,1e-10,unt/l
362,Fluticasone-Salmeterol (100/50),,,,,
363,Fluticasone-Salmeterol Diskus (100/50),,,,,
364,Vi-Daylin Multivitamin Drops,,,,,
365,Potassium Chl 20 mEq / 1000 mL D5LR,,,,,
366,Prismasate (B22 K4),,,,,
367,Cefepime Desensitization,,,,,
368,Heparin Flush CRRT (5000 Units/mL),,,,,
369,Asparaginase,,,,,
370,Avodart,5.173222222222222,0.5,mg,10346.444444444443,g
371,Systane,0.588,,,,
372,Vicodin ,,,,,
373,Mitotane,,,,,
374,Ocuvite,,,,,
375,CONCERTA,11.9993,18.0,mg,666.6277777777777,g
376,Tobramycin Fortified Ophth. Soln.,,,,,
377,Acetaminophen w/Codeine,,,,,
378,AMP,518.63,300.0,iu,1.7287666666666666,iu
379,Multivitamins,0.01065,,,,
380,Tuberculin Protein,,,,,
381,Parenteral Nutrition (TPN),,,,,
382,NEO*IM*DT  & Acellular Pertussis,,,,,
383,Influenza Virus Vaccine,,,,,
384,Diphenoxylate-Atropine,,,,,
385,Neutra-Phos,,,,,
386,Oxycodone-Acetaminophen,,,,,
387,Saliva Substitute,,,,,
388,Talc (Sterile),,,,,
389,Tiotropium Bromide,,,,,
390,Vial,5699.6,10.0,mg/ml,569.96,g/l
391,Viokase-8,,,,,
392,Zolpidem Tartrate,0.038,5.0,mg,7.6,g
393,Amlodipine,0.02085,2.5,mg,8.34,g
394,Send 500mg Vial,,,,,
395,Aspirin,0.013055555555555555,81.0,mg,0.16117969821673525,g
396,Bisoprolol Fumarate,0.1796,5.0,mg,35.92,g
397,Budesonide,218.235,2.0,mg,109117.5,g
398,Sucralfate,0.217,1.0,g,0.217,g
399,CloniDINE,0.01629,0.1,mg,162.89999999999998,g
400,Clonidine HCl,0.01629,0.1,mg,162.89999999999998,g
401,CeftAZIDime,,,,,
402,Clonazepam,5.492,0.125,mg,43936.0,g
403,Colchicine,26.906666666666666,0.6,mg,44844.444444444445,g
404,Stavudine,,,,,
405,Didanosine Chewable Tab,,,,,
406,Diazepam,1.0042071881606764,5.0,mg,200.8414376321353,g
407,Donepezil,1.2873333333333332,23.0,mg,55.97101449275362,g
408,Enalapril Maleate,0.051699999999999996,2.5,mg,20.68,g
409,Finasteride,0.07812000000000001,5.0,mg,15.624000000000002,g
410,FoLIC Acid,0.0313,1.0,mg,31.3,g
411,Folic Acid,0.0313,1.0,mg,31.3,g
412,GlyBURIDE,0.22460000000000002,5.0,mg,44.92,g
413,Glyburide,0.22460000000000002,5.0,mg,44.92,g
414,Glycopyrrolate,0.2,1.0,mg,200.0,g
415,Lidocaine Jelly 2% (Urojet),,,,,
416,Lisinopril,0.08245999999999999,2.5,mg,32.983999999999995,g
417,Loperamide,0.023583333333333335,,,,
418,Imodium,,,,,
419,Methadone HCl,1.693,10.0,mg,169.3,g
420,Methimazole,0.2125,5.0,mg,42.5,g
421,Metolazone,0.2873,2.5,mg,114.92,g
422,Multivitamins W/minerals,0.0233,,,,
423,Nephrocaps,,,,,
424,Olanzapine,0.37,10.0,mg,37.0,g
425,Oxybutynin,0.0481,5.0,mg,9.62,g
426,Salagen,1.8122999999999998,5.0,mg,362.46,g
427,Risperidone,0.5663333333333332,1.0,mg/ml,0.5663333333333332,g/l
428,Methylphenidate HCl,0.2724,10.0,mg,27.24,g
429,rivastigmine,1.8998333333333333,1.5,mg,1266.5555555555554,g
430,Rosiglitazone Maleate,,,,,
431,Rosuvastatin Calcium,,,,,
432,Sarna Lotion,,,,,
433,Sirolimus,9.94,1.0,mg/ml,9.94,g/l
434,Syringe (Intrapleural),,,,,
435,*NF* Tacrolimus Suspension,,,,,
436,Tizanidine,0.1725,4.0,mg,43.12499999999999,g
437,Tolterodine,0.5498333333333334,2.0,mg,274.9166666666667,g
438,AcetaZOLamide,0.2787,125.0,mg,2.2296,g
439,Acetazolamide,0.2787,125.0,mg,2.2296,g
440,AcetaZOLAMIDE,0.2787,125.0,mg,2.2296,g
441,Nifedipine CR,,,,,
442,NIFEdipine CR,,,,,
443,Adefovir,,,,,
444,Albuterol Neb Soln,,,,,
445,Alendronate Sodium,,,,,
446,Alteplase (Catheter Clearance),,,,,
447,Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),,,,,
448,Amitriptyline HCl,0.09949999999999999,10.0,mg,9.95,g
449,Aprepitant,322.93,125.0,mg,2583.44,g
450,Aspirin EC,,,,,
451,Atenolol,4.0662,50.0,mg,81.324,g
452,Atorvastatin,2.445333333333333,2.5,mg,978.1333333333332,g
453,Atropine Sulfate 1% Ophth Ointment,,,,,
454,Atropine Sulfate,,,,,
455,Azathioprine,226.13,100.0,mg,2261.2999999999997,g
456,Baclofen,3.6799999999999997,10.0,mg,367.99999999999994,g
457,Sulfameth/Trimethoprim SS,,,,,
458,Povidone Iodine 1/2 Strength,,,,,
459,Bethanechol,0.1452,25.0,mg,5.808,g
460,BuPROPion,0.1385,150.0,mg,0.9233333333333335,g
461,Calcitriol,2.0872,3.0,mcg/g,695733.3333333334,g/g
462,Calcium Replacement (Oncology),,,,,
463,Captopril,1.0027,12.5,mg,80.216,g
464,CefazoLIN,2.504166666666667,1.0,g,2.504166666666667,g
465,Cefazolin,2.504166666666667,1.0,g,2.504166666666667,g
466,CefePIME,13.020000000000001,2.0,g,6.510000000000001,g
467,CeftriaXONE,11.4,10.0,g,1.1400000000000001,g
468,Ceftazidime,,,,,
469,CefTAZidime,,,,,
470,CeftazIDIME,,,,,
471,Ceftriaxone,11.4,10.0,g,1.1400000000000001,g
472,CefTRIAXone,11.4,10.0,g,1.1400000000000001,g
473,Chlordiazepoxide HCl,0.2995,5.0,mg,59.9,g
474,Cholestyramine,0.09894179894179894,4.0,g,0.024735449735449735,g
475,Cinacalcet,1.2,30.0,mg,40.0,g
476,Citalopram Hydrobromide,0.0402,40.0,mg,1.005,g
477,Citalopram,0.0402,40.0,mg,1.005,g
478,Clindamycin,0.36483333333333334,,,,
479,Clonidine TTS 1 Patch,,,,,
480,Clonidine Patch 0.3 mg/24 hr,,,,,
481,Clopidogrel Bisulfate,57.428,300.0,mg,191.42666666666668,g
482,Clopidogrel,57.428,300.0,mg,191.42666666666668,g
483,Clotrimazole,1.005,,,,
484,Losartan Potassium,0.13277777777777777,12.5,mg/l,10.622222222222222,g/l
485,Creon 10,,,,,
486,Cyclobenzaprine HCl,0.0405,10.0,mg,4.05,g
487,Digoxin,6.491,0.125,mg,51927.99999999999,g
488,DiphenhydrAMINE,0.030299999999999997,50.0,mg,0.6059999999999999,g
489,DiphenhydrAMINE HCl,0.030299999999999997,50.0,mg,0.6059999999999999,g
490,Diphenhydramine HCl,0.030299999999999997,50.0,mg,0.6059999999999999,g
491,Doxepin HCl,0.15130000000000002,10.0,mg,15.13,g
492,Dronabinol,17.532,2.5,mg,7012.8,g
493,Eplerenone,0.3368888888888889,25.0,mg,13.475555555555555,g
494,*NF* Ertapenem Sodium,,,,,
495,Escitalopram Oxalate,0.54604,5.0,mg,109.208,g
496,Tricor,0.28455555555555556,48.0,mg,5.9282407407407405,g
497,Fexofenadine,,,,,
498,Flecainide Acetate,4.879,50.0,mg,97.57999999999998,g
499,Fondaparinux Sodium,,,,,
500,Guaifenesin-CODEINE Phosphate,,,,,
501,Glucagon,273.75,,,,
502,Glutamine,,,,,
503,Polyethylene Glycol,0.53,,,,
504,Miralax,,,,,
505,Golytely,0.0017375000000000001,,,,
506,Guaifenesin,0.34500000000000003,30.0,mg/g,11.500000000000002,g/g
507,Haemophilus B Conj. Vaccine,,,,,
508,Hydrocortisone Na Succ,,,,,
509,Hydrochlorothiazide,0.0471,10.0,mg,4.71,g
510,Heparin ,1.0024,,,,
511,Heparin (CRRT Machine Priming),,,,,
512,Hepa,23.47666666666667,500.0,ml,46.95333333333334,l
513,Hydrocortisone Cream 1%,,,,,
514,HydrOXYzine,1.3599999999999999,25.0,mg,54.39999999999999,g
515,Hydroxyzine HCl,1.3599999999999999,25.0,mg,54.39999999999999,g
516,Hydralazine HCl,0.845,10.0,mg,84.5,g
517,HydrALAZINE HCl,0.845,10.0,mg,84.5,g
518,Ibutilide Fumarate,,,,,
519,Isosorbide Mononitrate (Extended Release),,,,,
520,Isosorbide Mononitrate,0.0575,30.0,mg,1.9166666666666667,g
521,Humulin-R Insulin,,,,,
522,Ipratropium Bromide Neb,,,,,
523,Isosorbide Dinitrate,0.7654000000000001,30.0,mg,25.513333333333335,g
524,Lopinavir-Ritonavir (Oral Soln),,,,,
525,Potassium Chloride (Powder),,,,,
526,Ketoconazole 2% ,4.5129,,,,
527,Ketamine,15.755,10.0,mg/ml,1.5755000000000001,g/l
528,Lansoprazole,0.24714285714285714,15.0,mg,16.476190476190478,g
529,Lansoprazole Oral Suspension,,,,,
530,Levofloxacin,0.8162916666666666,125.0,mg,6.530333333333333,g
531,Lidocaine 5% Ointment,,,,,
532,Lidocaine 5% Patch,1.5143333333333333,,,,
533,Lactated Ringers,,,,,
534,LR,16.3453125,32.0,mg,510.79101562499994,g
535,Methylene Blue 1%,,,,,
536,Meclizine HCl,0.0163,12.5,mg,1.3039999999999998,g
