,drug,OPAL Price,OPAL Amount,OPAL Unit,OPAL Standardized Cost,OPAL Standardized Unit
80,Acetaminophen,4.264583333333333,10.0,mg/ml,0.42645833333333333,g/l
81,Acyclovir,10.488,,,,
82,Albuterol Inhaler,,,,,
83,Albuterol,0.4422,2.0,mg,221.1,g
84,Albuterol MDI,,,,,
85,Aspirin EC,,,,,
86,Bacitracin Ointment,,,,,
87,Sulfamethoxazole-Trimethoprim,,,,,
88,Sulfameth/Trimethoprim,,,,,
89,Becaplermin Gel 0.01%,,,,,
90,Benzonatate,0.0795,100.0,mg,0.7949999999999999,g
91,Levobunolol Hcl 0.25%,,,,,
92,Blistex Lip Ointment,,,,,
93,Bumetanide,2.409,0.25,mg/ml,9.636,g/l
94,Busulfan,122.4875,6.0,mg/ml,20.414583333333333,g/l
95,Caspofungin,287.881,50.0,mg,5757.619999999999,g
96,Cisatracurium Besylate,7.465999999999999,2.0,mg/ml,3.7329999999999997,g/l
97,Prochlorperazine,5.5280000000000005,5.0,mg/ml,1.1056000000000001,g/l
98,Dorzolamide 2%/Timolol 0.5% Ophth.,,,,,
99,Diazepam,1.0042071881606764,5.0,mg,200.8414376321353,g
100,Lidocaine-Prilocaine,,,,,
101,Enoxaparin Sodium,28.14,300.0,mg,93.80000000000001,g
102,Fluticasone Propionate NASAL,,,,,
103,Gabapentin,0.1225,600.0,mg,0.20416666666666666,g
104,Gentamicin Sulfate,,,,,
105,Glycerin Supps,,,,,
106,HYDROmorphone P.F.,,,,,
107,Hydromorphone P.F.,,,,,
108,Ibuprofen,0.02165217391304348,100.0,mg,0.2165217391304348,g
109,Kaopectate/Benadryl/Lido Visc.,,,,,
110,SW,0.024291666666666666,,,,
111,Potassium Phosphate,,,,,
112,Labetalol HCl,0.11449999999999999,100.0,mg,1.1449999999999998,g
113,Latanoprost 0.005% Ophth. Soln.,,,,,
114,Levobunolol Hcl 0.5%,2.55,,,,
115,Lidocaine 1%,,,,,
116,Aluminum-Magnesium Hydrox.-Simethicone,,,,,
117,Aluminum-Magnesium Hydroxide,,,,,
118,Meperidine,0.14346,50.0,mg,2.8691999999999998,g
119,MethylPREDNISolone Sodium Succ,,,,,
120,Methylprednisolone Na Succ,19.75,500.0,mg,39.5,g
121,Sodium Bicarbonate,0.01028,650.0,mg,0.015815384615384613,g
122,Syringe (NS),,,,,
123,Papain-Urea Ointment,,,,,
124,Phenylephrine HCl,3.3890000000000002,0.1,mg/ml,33.89,g/l
125,PHENYLEPHrine,0.045000000000000005,500.0,mg,0.09000000000000001,g
126,Phenylephrine,0.045000000000000005,500.0,mg,0.09000000000000001,g
127,Phytonadione,29.84,10.0,mg/ml,2.984,g/l
128,Prednisolone Acetate 1% Ophth. Susp.,,,,,
129,PrednisoLONE Acetate 1% Ophth. Susp.,,,,,
130,Promethazine HCl,0.9816666666666666,12.5,mg,78.53333333333332,g
131,Artificial Tears Preserv. Free,,,,,
132,Salmeterol Xinafoate Diskus (50 mcg),,,,,
133,Anti-Thymocyte Globulin (Rabbit),,,,,
134,Timolol Maleate 0.5%,16.716,,,,
135,Tobramycin Sulfate,,,,,
136,ValGANCIclovir Suspension,,,,,
137,Vecuronium Bromide,,,,,
138,Zonisamide,1.7822666666666664,100.0,mg,17.822666666666663,g
139,Alteplase,,,,,
140,Aluminum Hydroxide Suspension,,,,,
141,Amiodarone,2.2496666666666667,400.0,mg,5.6241666666666665,g
142,Aquaphor Ointment,,,,,
143,Artificial Tear Ointment,,,,,
144,Betaxolol Ophth Susp  0.25%,,,,,
145,Betaxolol Hcl  0.25%,,,,,
146,Syringe (Chemo),,,,,
147,Ciprofloxacin 0.3% Ophth Soln,,,,,
148,Ciprofloxacin IV,,,,,
149,Daptomycin,35.81,500.0,mg,71.62,g
150,Diltiazem,0.0495,30.0,mg,1.6500000000000001,g
151,Vitamin D,0.0285,200.0,mg,0.1425,g
152,Esmolol,104.099,10.0,mg/ml,10.4099,g/l
153,Fentanyl Patch,,,,,
154,Ferrous Sulfate,0.008477801268498942,220.0,mg,0.03853546031135883,g
155,Flumazenil,3.106,0.1,mg/ml,31.06,g/l
156,Fluticasone Propionate 110mcg,14.683333333333332,110.0,mcg,133484.84848484848,g
157,Ganciclovir,41.384,500.0,mg,82.768,g
158,Filgrastim,,,,,
159,Debrox 6.5%,,,,,
160,HumaLOG,5.1770000000000005,100.0,unt/ml,5.177000000000001e-05,unt/l
161,Eptifibatide,62.39166666666667,0.75,mg/ml,83.1888888888889,g/l
162,Sterile Water,84.53999999999999,2500.0,mg,33.815999999999995,g
163,Acular,54.25599999999999,,,,
164,Labetalol,0.11449999999999999,100.0,mg,1.1449999999999998,g
165,Lidocaine,2.7,,,,
166,Lidocaine Jelly 2%,,,,,
167,Soln.,7.944,3000.0,ml,2.648,l
168,Morphine Sulfate (Concentrated Oral Soln),,,,,
169,Methylprednisolone Na Succ.,,,,,
170,Bismuth Subsalicylate,0.044333333333333336,262.0,mg,0.1692111959287532,g
171,Phenytoin Sodium,,,,,
172,Rituximab,10.751999999999999,100.0,mg/ml,0.10751999999999999,g/l
173,Timolol Maleate 0.25%,18.862000000000002,,,,
174,Vancomycin,0.4177666666666667,50.0,mg/ml,0.008355333333333333,g/l
175,Vancomycin HCl,0.4177666666666667,50.0,mg/ml,0.008355333333333333,g/l
176,Acetylcysteine 20%,8.843333333333334,,,,
177,Acetylcysteine,17.155,200.0,mg/ml,0.085775,g/l
178,Norepinephrine Bitartrate,23.057,32.0,mcg/ml,720.5312499999999,g/l
179,acetylc,17.155,200.0,mg/ml,0.085775,g/l
180,Fluticasone-Salmeterol Diskus (250/50) ,,,,,
181,Fluticasone-Salmeterol (250/50) ,,,,,
182,Brimonidine Tartrate 0.15% Ophth.,,,,,
183,Ascorbic Acid (Liquid),,,,,
184,Aspirin Desensitization (Angioedema),,,,,
185,Calcipotriene 0.005% Cream,1.8081666666666665,,,,
186,Ciprofloxacin,6.284285714285715,,,,
187,Clobetasol Propionate 0.05% Soln,0.51,,,,
188,Albuterol-Ipratropium,,,,,
189,DOXOrubicin,24.0,2.0,mg/ml,12.0,g/l
190,Erythromycin 0.5% Ophth Oint,,,,,
191,Fentanyl PCA,,,,,
192,Heparin Flush (10 units/ml),,,,,
193,Benzocaine 20% Spray,,,,,
194,Lidocaine 0.5%,,,,,
195,Maalox/Diphenhydramine/Lidocaine,,,,,
196,NS Syringe (Intrapleural),,,,,
197,Nystatin Oral Suspension,,,,,
198,Propofol,1.3096,10.0,mg/ml,0.13096000000000002,g/l
199,Scopolamine 0.25% Ophth Soln,,,,,
200,Fluticasone-Salmeterol Diskus (500/50) ,,,,,
201,Advair Diskus,5.2044999999999995,,,,
202,Hydrocortisone Acetate Ointment 1%,,,,,
203,Beclomethasone Dipro. AQ (Nasal),,,,,
204,Heparin Flush Midline (100 units/ml),,,,,
205,Heparin Flush PICC (100 units/ml),,,,,
206,Heparin Flush (100 units/ml),,,,,
207,Sodium CITRATE 4%,,,,,
208,Triamcinolone Acetonide 0.1% Cream,0.03209251101321586,,,,
209,Fluticasone-Salmeterol Diskus (100/50),,,,,
210,Fluticasone-Salmeterol (100/50),,,,,
211,Heparin Flush CRRT (5000 Units/mL),,,,,
212,Dakins 1/2 Strength,,,,,
213,Penicillin G K Desensitization,,,,,
214,sevelamer carbonate,0.1667037037037037,800.0,mg,0.2083796296296296,g
215,Efudex,4.64825,,,,
216,sitagliptin-metformin,,,,,
217,Byetta,768.68,250.0,mcg/ml,3074.72,g/l
218,Cortef,107.96,1.0,g,107.96,g
219,Bag,575.695,0.3,mg/ml,1918.9833333333336,g/l
220,Multivitamins,0.01065,,,,
221,Tuberculin Protein,,,,,
222,Influenza Virus Vaccine,,,,,
223,Diphenoxylate-Atropine,,,,,
224,Neutra-Phos,,,,,
225,Neutra-phos,,,,,
226,Oxycodone-Acetaminophen (5mg-325mg),,,,,
227,Oxycodone-Acetaminophen,,,,,
228,percocet,0.050140000000000004,5.0,mg,10.028,g
229,Tiotropium Bromide,,,,,
230,Vial,5699.6,10.0,mg/ml,569.96,g/l
231,Alendronate Sodium,,,,,
232,Alprazolam,10.545,1.0,mg,10545.0,g
233,Zolpidem Tartrate,0.038,5.0,mg,7.6,g
234,Amlodipine,0.02085,2.5,mg,8.34,g
235,Amlodipine Besylate,0.02085,2.5,mg,8.34,g
236,Ampicillin Sodium,,,,,
237,anastrozole,53.592,1.0,mg,53592.0,g
238,Aspirin,0.013055555555555555,81.0,mg,0.16117969821673525,g
239,Budesonide,218.235,2.0,mg,109117.5,g
240,BusPIRone,0.06398,5.0,mg,12.796,g
241,Sucralfate,0.217,1.0,g,0.217,g
242,Clonidine HCl,0.01629,0.1,mg,162.89999999999998,g
243,CloniDINE,0.01629,0.1,mg,162.89999999999998,g
244,Colchicine,26.906666666666666,0.6,mg,44844.444444444445,g
245,Donepezil,1.2873333333333332,23.0,mg,55.97101449275362,g
246,Doxazosin,5.3020000000000005,1.0,mg,5302.0,g
247,Triamterene-Hydrochlorothiazide,,,,,
248,Enalapril Maleate,0.051699999999999996,2.5,mg,20.68,g
249,Ferrous Gluconate,0.0146,240.0,mg,0.060833333333333336,g
250,Finasteride,0.07812000000000001,5.0,mg,15.624000000000002,g
251,FoLIC Acid,0.0313,1.0,mg,31.3,g
252,Folic Acid,0.0313,1.0,mg,31.3,g
253,Amaryl,,,,,
254,Glimepiride,11.433666666666666,2.0,mg,5716.833333333333,g
255,GlipiZIDE,2.294,5.0,mg,458.8,g
256,Glipizide,2.294,5.0,mg,458.8,g
257,GlyBURIDE,0.22460000000000002,5.0,mg,44.92,g
258,Glyburide,0.22460000000000002,5.0,mg,44.92,g
259,Lidocaine Jelly 2% (Urojet),,,,,
260,Lisinopril,0.08245999999999999,2.5,mg,32.983999999999995,g
261,Loperamide HCl,2.1783333333333332,1.0,mg,2178.333333333333,g
262,Methadone,1.693,10.0,mg,169.3,g
263,Metolazone,0.2873,2.5,mg,114.92,g
264,Midodrine,0.5236999999999999,2.5,mg,209.47999999999996,g
265,Methotrexate,0.22820000000000001,2.5,mg,91.28,g
266,Multivitamins W/minerals,0.0233,,,,
267,Sodium Chloride,1.3566666666666667,,,,
268,Nephrocaps,,,,,
269,Nitroglycerin Patch,,,,,
270,Olanzapine,0.37,10.0,mg,37.0,g
271,Oxybutynin,0.0481,5.0,mg,9.62,g
272,OxycoDONE (Immediate Release) ,,,,,
273,OxycodONE (Immediate Release) ,,,,,
274,Oxycodone,0.027739999999999997,5.0,mg,5.547999999999999,g
275,Paliperidone ER,,,,,
276,Perphenazine,0.34009999999999996,2.0,mg,170.04999999999998,g
277,Pindolol,0.8740000000000001,5.0,mg,174.8,g
278,Ramipril,0.8048000000000001,1.25,mg,643.84,g
279,Risperidone,0.5663333333333332,1.0,mg/ml,0.5663333333333332,g/l
280,Methylphenidate,0.2724,10.0,mg,27.24,g
281,Rosuvastatin Calcium,,,,,
282,Sarna Lotion,,,,,
283,Sirolimus,9.94,1.0,mg/ml,9.94,g/l
284,Syringe (IV Room),,,,,
285,Tacrolimus,0.423,,,,
286,Tacrolimus Suspension,,,,,
287,Tizanidine,0.1725,4.0,mg,43.12499999999999,g
288,Tolterodine,0.5498333333333334,2.0,mg,274.9166666666667,g
289,Torsemide,0.21366666666666667,20.0,mg,10.683333333333334,g
290,Vitamin B Complex,0.014199999999999999,,,,
291,AcetaZOLamide,0.2787,125.0,mg,2.2296,g
292,Acetazolamide,0.2787,125.0,mg,2.2296,g
293,Nifedipine CR,,,,,
294,NIFEdipine CR,,,,,
295,Adenosine,4.127000000000001,3.0,mg/ml,1.3756666666666668,g/l
296,Albumin 25% (12.5gm),,,,,
297,Albumin 25% (12.5 g),,,,,
298,Albuterol 0.083% Neb Soln,,,,,
299,Albuterol Neb Soln,,,,,
300,ALPRAZolam,10.545,1.0,mg,10545.0,g
301,Alteplase (Catheter Clearance),,,,,
302,Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),,,,,
303,Amitriptyline HCl,0.09949999999999999,10.0,mg,9.95,g
304,Amitriptyline,0.09949999999999999,10.0,mg,9.95,g
305,Aripiprazole,6.205666666666667,2.0,mg,3102.8333333333335,g
306,Atenolol,4.0662,50.0,mg,81.324,g
307,Atorvastatin,2.445333333333333,2.5,mg,978.1333333333332,g
308,Atropine Sulfate,,,,,
309,Azathioprine,226.13,100.0,mg,2261.2999999999997,g
310,Aztreonam,28.139999999999997,1.0,g,28.139999999999997,g
311,Baclofen,3.6799999999999997,10.0,mg,367.99999999999994,g
312,Sulfameth/Trimethoprim DS,,,,,
313,Sulfameth/Trimethoprim SS,,,,,
314,Calcitriol,2.0872,3.0,mcg/g,695733.3333333334,g/g
315,Captopril,1.0027,12.5,mg,80.216,g
316,Cefazolin,2.504166666666667,1.0,g,2.504166666666667,g
317,CefazoLIN,2.504166666666667,1.0,g,2.504166666666667,g
318,CefePIME,13.020000000000001,2.0,g,6.510000000000001,g
319,CeftazIDIME,,,,,
320,Ceftazidime,,,,,
321,CefTAZidime,,,,,
322,CeftriaXONE,11.4,10.0,g,1.1400000000000001,g
323,Ceftriaxone,11.4,10.0,g,1.1400000000000001,g
324,CefTRIAXone,11.4,10.0,g,1.1400000000000001,g
325,Cholestyramine,0.09894179894179894,4.0,g,0.024735449735449735,g
326,Chlorthalidone,4.0662,50.0,mg,81.324,g
327,Cilostazol,0.3393333333333333,100.0,mg,3.393333333333333,g
328,Cinacalcet,1.2,30.0,mg,40.0,g
329,Citalopram Hydrobromide,0.0402,40.0,mg,1.005,g
330,Clindamycin,0.36483333333333334,,,,
331,Clonidine TTS 1 Patch,,,,,
332,Clonidine Patch 0.3 mg/24 hr,,,,,
333,Clopidogrel,57.428,300.0,mg,191.42666666666668,g
334,Clopidogrel Desensitization,,,,,
335,Clotrimazole,1.005,,,,
336,Losartan Potassium,0.13277777777777777,12.5,mg/l,10.622222222222222,g/l
337,Cyanocobalamin,0.018769230769230767,1000.0,mcg,18.769230769230766,g
338,Cyclobenzaprine HCl,0.0405,10.0,mg,4.05,g
339,Cyclobenzaprine,0.0405,10.0,mg,4.05,g
340,Dabigatran Etexilate,,,,,
341,Desipramine HCl,0.114,10.0,mg,11.4,g
342,Digoxin,6.491,0.125,mg,51927.99999999999,g
343,Diphenhydramine HCl,0.030299999999999997,50.0,mg,0.6059999999999999,g
344,DiphenhydrAMINE HCl,0.030299999999999997,50.0,mg,0.6059999999999999,g
345,Doxercalciferol,12.0604,1.0,mcg,12060400.0,g
346,Duloxetine,3.283333333333333,40.0,mg,82.08333333333333,g
347,Eplerenone,0.3368888888888889,25.0,mg,13.475555555555555,g
348,*NF* Ertapenem Sodium,,,,,
349,Escitalopram Oxalate,0.54604,5.0,mg,109.208,g
350,Ezetimibe,0.1579,10.0,mg,15.790000000000001,g
351,Tricor,0.28455555555555556,48.0,mg,5.9282407407407405,g
352,Fexofenadine,,,,,
353,Fluphenazine,0.9934999999999999,1.0,mg,993.4999999999999,g
354,Fleet Phospho-Soda,,,,,
355,Guaifenesin-CODEINE Phosphate,,,,,
356,Glucagon,273.75,,,,
357,Polyethylene Glycol,0.53,,,,
358,Golytely,0.0017375000000000001,,,,
359,Guaifenesin,0.34500000000000003,30.0,mg/g,11.500000000000002,g/g
360,Haemophilus B Conj. Vaccine,,,,,
361,Hydrochlorothiazide,0.0471,10.0,mg,4.71,g
362,Heparin (CRRT Machine Priming),,,,,
363,Hydrocortisone Cream 1%,,,,,
364,HydrOXYzine,1.3599999999999999,25.0,mg,54.39999999999999,g
365,HydrOXYzine HCl,1.3599999999999999,25.0,mg,54.39999999999999,g
366,HydrALAzine,0.845,10.0,mg,84.5,g
367,Hydralazine HCl,0.845,10.0,mg,84.5,g
368,HydrALAZINE HCl,0.845,10.0,mg,84.5,g
369,Isosorbide Mononitrate (Extended Release),,,,,
370,Isosorbide Mononitrate,0.0575,30.0,mg,1.9166666666666667,g
371,Indomethacin,0.34990000000000004,25.0,mg,13.996,g
372,Humulin-R Insulin,,,,,
373,Ipratropium Bromide Neb,,,,,
374,Isoproterenol,39.758,0.2,mg/ml,198.79,g/l
375,Isosorbide Dinitrate,0.7654000000000001,30.0,mg,25.513333333333335,g
376,Potassium Chloride (Powder),,,,,
377,Ketoconazole 2% ,4.5129,,,,
378,Lansoprazole,0.24714285714285714,15.0,mg,16.476190476190478,g
379,Levofloxacin,0.8162916666666666,125.0,mg,6.530333333333333,g
380,Norepinephrine,23.057,32.0,mcg/ml,720.5312499999999,g/l
381,Lidocaine 5% Ointment,,,,,
382,Lactated Ringers,,,,,
383,Mercaptopurine,0.2916666666666667,50.0,mg,5.833333333333333,g
384,Meropenem,6.281000000000001,1.0,g,6.281000000000001,g
385,Metoclopramide,0.030211416490486257,5.0,mg,6.042283298097251,g
386,Metoprolol Tartrate,0.9949999999999999,5.0,mg/ml,0.19899999999999998,g/l
387,Methazolamide,0.6601,25.0,mg,26.404,g
388,Miconazole 2% Cream,,,,,
389,Miconazole Powder 2%,,,,,
390,Mirtazapine,0.1005,15.0,mg,6.700000000000001,g
391,Milk of Magnesia,0.005083333333333333,,,,
392,Montelukast Sodium,,,,,
393,Morphine SR (MS Contin),,,,,
394,Morphine Sulfate SR,,,,,
395,multivit,0.035666666666666666,,,,
396,multivitamin,0.035666666666666666,,,,
397,multivi,0.035666666666666666,,,,
398,Multivitamin IV,,,,,
399,Multivitamin 12,,,,,
400,Nafcillin,4.07,1.0,g,4.07,g
401,Naloxone HCl,20.055,4.0,mg,5013.75,g
402,Nicotine Patch,,,,,
403,Nifedipine,1.5658,20.0,mg,78.29,g
404,NIFEdipine,1.5658,20.0,mg,78.29,g
405,Nitrofurantoin (Macrodantin),,,,,
406,Nortriptyline,0.3211416490486258,10.0,mg,32.11416490486258,g
407,NS (Glass Bottle),,,,,
408,Nitroglycerin SL,,,,,
409,Nystatin Oral Susp.,,,,,
410,Omeprazole,0.7536666666666666,20.0,mg,37.68333333333333,g
411,Oxazepam,0.7487,10.0,mg,74.87,g
412,Oxycodone (Sustained Release),,,,,
413,Pantoprazole,1.827,40.0,mg,45.675,g
414,Paroxetine HCl,0.3488,10.0,mg,34.88,g
415,Paroxetine,0.3488,10.0,mg,34.88,g
416,Famotidine,0.0484,20.0,mg,2.42,g
417,Pioglitazone HCl,11.433666666666666,2.0,mg,5716.833333333333,g
418,Prasugrel,0.21633333333333335,5.0,mg,43.266666666666666,g
419,Pravastatin,3.497,10.0,mg,349.7,g
420,Pregabalin,0.1522198731501057,20.0,mg/ml,0.007610993657505285,g/l
421,Propranolol,0.16010000000000002,10.0,mg,16.01,g
422,Propranolol HCl,0.16010000000000002,10.0,mg,16.01,g
423,Propylthiouracil,0.21780000000000002,50.0,mg,4.356,g
424,Fluoxetine HCl,0.040999999999999995,10.0,mg,4.1,g
425,Fluoxetine,0.0464,20.0,mg,2.32,g
426,Pseudoephedrine,0.20800000000000002,120.0,mg,1.7333333333333336,g
427,Pyridoxine,0.011200000000000002,25.0,mg,0.44800000000000006,g
428,Quetiapine Fumarate,0.10064000000000001,25.0,mg,4.0256,g
429,Quinapril,,,,,
430,Actonel,81.4075,35.0,mg,2325.928571428571,g
431,MethylPHENIDATE (Ritalin),,,,,
432,OxycoDONE-Acetaminophen Elixir,,,,,
433,Senna,0.02928270042194093,,,,
434,Sertraline,0.0728,25.0,mg,2.912,g
435,Sertraline HCl,0.0728,25.0,mg,2.912,g
436,Silver Sulfadiazine 1% Cream,0.21400000000000002,,,,
437,Simethicone,0.0565,125.0,mg,0.452,g
438,Simvastatin,3.71827,10.0,mg,371.827,g
439,Sodium Chloride 3% Inhalation Soln,,,,,
440,Sotalol,1636.23,150.0,mg,10908.2,g
441,Spironolactone,0.037899999999999996,25.0,mg,1.5159999999999998,g
442,Sunitinib,151.7617857142857,12.5,mg,12140.942857142856,g
443,Tamsulosin,0.475,0.4,mg,1187.5,g
444,Tamsulosin HCl,0.475,0.4,mg,1187.5,g
445,Temazepam,24.97,7.5,mg,3329.3333333333335,g
446,Terazosin,0.1026,1.0,mg,102.6,g
447,Terazosin HCl,0.1026,1.0,mg,102.6,g
448,Brilinta,6.839666666666667,60.0,mg,113.99444444444445,g
449,Metoprolol Succinate XL,,,,,
450,Metoprolol XL,,,,,
451,traMADOL,0.5729175475687104,5.0,mg/ml,0.11458350951374208,g/l
452,TraMADOL (Ultram),,,,,
453,traZODONE,0.1091,150.0,mg,0.7273333333333334,g
454,traZODONE HCl,0.1091,150.0,mg,0.7273333333333334,g
455,Triazolam,0.6047,0.125,mg,4837.6,g
456,Ampicillin-Sulbactam,,,,,
457,Unasyn,7.420999999999999,1.5,g,4.947333333333333,g
458,Valsartan,0.33611111111111114,160.0,mg,2.1006944444444446,g
459,Vancomycin Enema,,,,,
460,Verapamil,1.3393000000000002,100.0,mg,13.393,g
461,Verapamil HCl,1.3393000000000002,100.0,mg,13.393,g
462,Vitamin B Complex w/C,,,,,
463,Ziprasidone,0.5745,20.0,mg,28.725,g
464,ACD-A for CRRT,,,,,
465,Acebutolol HCl,0.5587,200.0,mg,2.7935,g
466,Dipyridamole-Aspirin,,,,,
467,Albuterol ,0.4422,2.0,mg,221.1,g
468,Allopurinol,2033.1,500.0,mg,4066.2,g
469,Amiodarone HCl,2.2496666666666667,400.0,mg,5.6241666666666665,g
470,Anusol-HC Suppository,,,,,
471,Aspirin (Buffered),,,,,
472,Ascorbic Acid,0.01871,500.0,mg,0.03742,g
473,Amoxicillin-Clavulanic Acid,,,,,
474,Beclomethasone Dipropionate,,,,,
475,Clarithromycin,4.8165000000000004,500.0,mg,9.633000000000001,g
476,Bicitra,,,,,
477,Bisacodyl,0.06527777777777778,10.0,mg,6.527777777777778,g
478,Bupivacaine 0.1%,,,,,
479,BuPROPion,0.1385,150.0,mg,0.9233333333333335,g
480,Bupropion HCl,0.1385,150.0,mg,0.9233333333333335,g
481,BuPROPion (Sustained Release),,,,,
482,Calcium Carbonate,0.006019999999999999,10.0,g,0.0006019999999999999,g
483,Calcium Acetate,0.12494999999999999,667.0,mg,0.18733133433283355,g
484,Caphosol,5.3165625,,,,
485,Carbamazepine,0.12833333333333333,100.0,mg,1.2833333333333332,g
486,Carvedilol,3.3093333333333335,10.0,mg,330.93333333333334,g
487,Cephalexin,0.1036,250.0,mg,0.4144,g
488,Chlorhexidine Gluconate 0.12% Oral Rinse,,,,,
489,Ciprofloxacin HCl,6.284285714285715,,,,
490,WelChol,2.6330555555555555,625.0,mg,4.212888888888889,g
491,LaMIVudine-Zidovudine (Combivir),,,,,
492,Cosyntropin,,,,,
493,D5W (Glass Bottle),,,,,
494,D5W (EXCEL BAG),,,,,
495,5% Dextrose (EXCEL BAG),,,,,
496,Propoxyphene Nap.-Apap (N-100),,,,,
497,Dextrose 50%,,,,,
498,DiCLOXacillin,0.3833,250.0,mg,1.5332,g
499,Dicloxacillin,0.3833,250.0,mg,1.5332,g
500,Phenytoin,4.1530000000000005,100.0,mg,41.53,g
501,Phenytoin Sodium Extended,,,,,
502,Phenytoin (Suspension),,,,,
503,Divalproex (DELayed Release),,,,,
504,Divalproex Sodium,0.06570000000000001,125.0,mg,0.5256000000000001,g
505,DOBUTamine,6.12,,,,
506,Dobutamine,6.12,,,,
507,Docusate Sodium,1.7803333333333333,283.0,mg,6.290930506478209,g
508,Docusate Sodium (Liquid),,,,,
509,Dofetilide,0.2298333333333333,125.0,mcg,1838.6666666666665,g
510,Erythromycin,11.745333333333333,400.0,mg,29.36333333333333,g
511,Ethacrynate Sodium,,,,,
512,Flecainide Acetate,4.879,50.0,mg,97.57999999999998,g
513,Fleet Enema,,,,,
514,Fluconazole,1.8996666666666668,50.0,mg,37.99333333333333,g
